Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-174.0,-95.0,4.0,16.0,-34.0,-26.0
40,-162.0,-76.0,-27.0,17.0,-33.0,-33.0
80,-176.0,-50.0,-15.0,20.0,-34.0,-45.0
120,-202.0,-79.0,-5.0,20.0,-37.0,-49.0
160,-214.0,-111.0,9.0,22.0,-37.0,-58.0
200,-217.0,-83.0,10.0,23.0,-38.0,-63.0
240,-224.0,-74.0,-4.0,20.0,-38.0,-69.0
280,-221.0,-125.0,-33.0,21.0,-39.0,-69.0
320,-205.0,-159.0,-44.0,20.0,-38.0,-66.0
360,-214.0,-108.0,-46.0,21.0,-38.0,-64.0
400,-234.0,-119.0,-56.0,20.0,-37.0,-61.0
440,-215.0,-182.0,-92.0,21.0,-35.0,-56.0
480,-175.0,-164.0,-113.0,21.0,-34.0,-54.0
520,-148.0,-146.0,-120.0,21.0,-31.0,-52.0
560,-137.0,-183.0,-83.0,21.0,-29.0,-50.0
600,-121.0,-161.0,-81.0,19.0,-28.0,-52.0
640,-108.0,-109.0,-101.0,19.0,-28.0,-51.0
680,-101.0,-91.0,-100.0,17.0,-28.0,-49.0
720,-86.0,-92.0,-116.0,16.0,-28.0,-47.0
760,-43.0,-60.0,-126.0,15.0,-27.0,-47.0
800,-1.0,-31.0,-141.0,13.0,-28.0,-43.0
840,16.0,-36.0,-140.0,10.0,-27.0,-38.0
880,22.0,-50.0,-129.0,11.0,-25.0,-34.0
920,40.0,-29.0,-124.0,9.0,-21.0,-27.0
960,58.0,-5.0,-119.0,7.0,-21.0,-21.0
1000,71.0,-13.0,-108.0,4.0,-18.0,-14.0
1040,91.0,-11.0,-109.0,2.0,-15.0,-6.0
1080,118.0,12.0,-120.0,0.0,-13.0,1.0
1120,128.0,39.0,-124.0,-1.0,-13.0,10.0
1160,121.0,40.0,-116.0,-4.0,-13.0,18.0
1200,127.0,15.0,-103.0,-8.0,-11.0,26.0
1240,151.0,34.0,-106.0,-9.0,-11.0,32.0
1280,170.0,79.0,-94.0,-13.0,-9.0,36.0
1320,178.0,84.0,-81.0,-15.0,-7.0,39.0
1360,192.0,65.0,-83.0,-17.0,-2.0,37.0
1400,207.0,104.0,-74.0,-20.0,3.0,37.0
1440,207.0,152.0,-76.0,-20.0,5.0,37.0
1480,210.0,119.0,-90.0,-24.0,7.0,37.0
1520,219.0,103.0,-98.0,-25.0,8.0,36.0
1560,231.0,138.0,-103.0,-26.0,11.0,34.0
1600,225.0,155.0,-98.0,-27.0,12.0,36.0
1640,212.0,132.0,-88.0,-30.0,13.0,38.0
1680,206.0,126.0,-79.0,-32.0,14.0,39.0
1720,211.0,123.0,-67.0,-36.0,15.0,41.0
1760,211.0,108.0,-64.0,-39.0,18.0,44.0
1800,206.0,66.0,-82.0,-41.0,21.0,44.0
1840,200.0,43.0,-91.0,-45.0,23.0,45.0
1880,187.0,34.0,-74.0,-46.0,27.0,45.0
1920,151.0,37.0,-39.0,-45.0,26.0,45.0
1960,120.0,27.0,-37.0,-44.0,27.0,39.0
2000,103.0,48.0,-32.0,-45.0,29.0,33.0
2040,93.0,71.0,-25.0,-45.0,28.0,23.0
2080,78.0,64.0,7.0,-49.0,31.0,16.0
2120,58.0,75.0,10.0,-49.0,32.0,7.0
2160,36.0,90.0,4.0,-51.0,32.0,-2.0
2200,15.0,97.0,-11.0,-50.0,32.0,-9.0
2240,-9.0,89.0,-7.0,-51.0,32.0,-17.0
2280,-20.0,77.0,-19.0,-52.0,34.0,-18.0
2320,-30.0,70.0,-22.0,-52.0,34.0,-21.0
2360,-37.0,55.0,-29.0,-51.0,34.0,-20.0
2400,-49.0,50.0,-17.0,-51.0,34.0,-22.0
2440,-51.0,30.0,-18.0,-53.0,35.0,-19.0
2480,-60.0,30.0,-19.0,-53.0,36.0,-21.0
2520,-72.0,17.0,-42.0,-54.0,38.0,-21.0
2560,-85.0,9.0,-42.0,-56.0,37.0,-24.0
2600,-87.0,3.0,-42.0,-57.0,36.0,-25.0
2640,-98.0,-4.0,-35.0,-57.0,36.0,-29.0
2680,-106.0,-19.0,-30.0,-56.0,35.0,-33.0
2720,-117.0,-36.0,-26.0,-58.0,33.0,-40.0
2760,-119.0,-54.0,-34.0,-59.0,34.0,-44.0
2800,-126.0,-59.0,-35.0,-56.0,32.0,-49.0
2840,-129.0,-88.0,-42.0,-55.0,30.0,-55.0
2880,-134.0,-107.0,-39.0,-55.0,29.0,-58.0
2920,-143.0,-85.0,-45.0,-55.0,27.0,-58.0
2960,-158.0,-85.0,-63.0,-56.0,27.0,-59.0
3000,-167.0,-84.0,-59.0,-55.0,26.0,-56.0
3040,-164.0,-80.0,-60.0,-54.0,24.0,-54.0
3080,-157.0,-41.0,-57.0,-55.0,23.0,-46.0
3120,-153.0,-33.0,-64.0,-54.0,22.0,-41.0
3160,-143.0,-39.0,-54.0,-55.0,23.0,-36.0
3200,-131.0,-16.0,-50.0,-54.0,22.0,-31.0
3240,-122.0,14.0,-49.0,-52.0,22.0,-23.0
3280,-112.0,-1.0,-59.0,-55.0,20.0,-19.0
3320,-88.0,-49.0,-58.0,-51.0,19.0,-13.0
3360,-69.0,-27.0,-61.0,-52.0,18.0,-11.0
3400,-62.0,-33.0,-69.0,-51.0,16.0,-9.0
3440,-56.0,-64.0,-89.0,-49.0,15.0,-7.0
3480,-41.0,-43.0,-94.0,-49.0,13.0,-5.0
3520,-23.0,-4.0,-96.0,-47.0,12.0,-3.0
3560,2.0,16.0,-101.0,-46.0,12.0,2.0
3600,27.0,27.0,-99.0,-45.0,10.0,3.0
3640,56.0,26.0,-98.0,-43.0,9.0,7.0
3680,74.0,28.0,-65.0,-41.0,9.0,9.0
3720,72.0,76.0,-46.0,-42.0,8.0,14.0
3760,69.0,67.0,-39.0,-41.0,7.0,20.0
3800,80.0,42.0,-41.0,-38.0,7.0,27.0
3840,96.0,80.0,-37.0,-38.0,6.0,30.0
3880,102.0,94.0,-34.0,-37.0,8.0,38.0
3920,107.0,53.0,-28.0,-34.0,7.0,41.0
