Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,194.0,25.0,-13.0,-12.0,9.0,4.0
40,201.0,33.0,-22.0,-11.0,11.0,2.0
80,208.0,33.0,-33.0,-13.0,13.0,1.0
120,211.0,8.0,-44.0,-14.0,11.0,1.0
160,199.0,5.0,-53.0,-16.0,12.0,-2.0
200,182.0,11.0,-70.0,-18.0,10.0,-3.0
240,159.0,2.0,-84.0,-18.0,11.0,-4.0
280,134.0,-6.0,-104.0,-17.0,9.0,-4.0
320,119.0,-20.0,-117.0,-17.0,10.0,-7.0
360,113.0,-38.0,-100.0,-18.0,9.0,-12.0
400,96.0,-36.0,-65.0,-18.0,10.0,-19.0
440,74.0,-40.0,-50.0,-19.0,11.0,-24.0
480,57.0,-20.0,-87.0,-20.0,11.0,-29.0
520,61.0,-26.0,-139.0,-23.0,13.0,-38.0
560,63.0,-11.0,-169.0,-24.0,13.0,-43.0
600,64.0,-6.0,-172.0,-25.0,11.0,-46.0
640,57.0,12.0,-181.0,-24.0,8.0,-46.0
680,53.0,9.0,-199.0,-24.0,5.0,-46.0
720,55.0,9.0,-206.0,-26.0,4.0,-44.0
760,58.0,14.0,-205.0,-26.0,5.0,-40.0
800,56.0,-9.0,-219.0,-27.0,4.0,-37.0
840,47.0,-34.0,-257.0,-26.0,8.0,-30.0
880,37.0,-63.0,-281.0,-27.0,10.0,-24.0
920,14.0,-52.0,-290.0,-31.0,14.0,-19.0
960,-3.0,-68.0,-307.0,-32.0,14.0,-15.0
1000,-21.0,-67.0,-318.0,-31.0,15.0,-15.0
1040,-30.0,-71.0,-325.0,-31.0,15.0,-15.0
1080,-36.0,-63.0,-308.0,-32.0,16.0,-17.0
1120,-43.0,-28.0,-277.0,-33.0,13.0,-19.0
1160,-47.0,-22.0,-244.0,-31.0,11.0,-24.0
1200,-39.0,-20.0,-216.0,-32.0,9.0,-27.0
1240,-30.0,7.0,-207.0,-34.0,6.0,-28.0
1280,-20.0,33.0,-205.0,-35.0,5.0,-25.0
1320,-20.0,20.0,-205.0,-36.0,3.0,-21.0
1360,-23.0,20.0,-191.0,-35.0,3.0,-17.0
1400,-32.0,24.0,-181.0,-35.0,4.0,-8.0
1440,-44.0,32.0,-182.0,-38.0,5.0,1.0
1480,-51.0,29.0,-182.0,-38.0,7.0,5.0
1520,-52.0,25.0,-166.0,-39.0,10.0,12.0
1560,-49.0,13.0,-155.0,-36.0,13.0,19.0
1600,-45.0,1.0,-157.0,-38.0,15.0,25.0
1640,-40.0,1.0,-167.0,-35.0,15.0,31.0
1680,-41.0,16.0,-169.0,-36.0,12.0,35.0
1720,-42.0,5.0,-162.0,-33.0,11.0,38.0
1760,-24.0,11.0,-159.0,-33.0,7.0,39.0
1800,2.0,21.0,-161.0,-30.0,6.0,38.0
1840,24.0,37.0,-136.0,-30.0,4.0,38.0
1880,38.0,26.0,-106.0,-30.0,3.0,35.0
1920,54.0,7.0,-88.0,-29.0,4.0,35.0
1960,69.0,12.0,-84.0,-30.0,3.0,37.0
2000,68.0,20.0,-84.0,-29.0,5.0,36.0
2040,54.0,33.0,-72.0,-27.0,4.0,35.0
2080,43.0,-5.0,-66.0,-27.0,5.0,40.0
2120,32.0,-4.0,-68.0,-24.0,4.0,42.0
2160,15.0,30.0,-61.0,-20.0,5.0,45.0
2200,-2.0,43.0,-47.0,-18.0,3.0,48.0
2240,2.0,16.0,-28.0,-18.0,6.0,47.0
2280,21.0,12.0,-24.0,-17.0,5.0,46.0
2320,51.0,28.0,-33.0,-17.0,7.0,44.0
2360,68.0,47.0,-34.0,-14.0,8.0,38.0
2400,83.0,48.0,-40.0,-13.0,7.0,36.0
2440,108.0,33.0,-42.0,-13.0,5.0,30.0
2480,128.0,73.0,-40.0,-11.0,4.0,27.0
2520,134.0,105.0,-37.0,-7.0,1.0,21.0
2560,148.0,69.0,-28.0,-6.0,-1.0,17.0
2600,168.0,55.0,-29.0,-4.0,-3.0,13.0
2640,178.0,72.0,-25.0,-3.0,-2.0,13.0
2680,170.0,61.0,-39.0,-1.0,-1.0,13.0
2720,160.0,24.0,-56.0,0.0,-2.0,13.0
2760,155.0,30.0,-74.0,1.0,1.0,12.0
2800,153.0,28.0,-75.0,0.0,3.0,10.0
2840,150.0,20.0,-93.0,2.0,6.0,10.0
2880,161.0,-11.0,-115.0,4.0,11.0,7.0
2920,171.0,0.0,-118.0,3.0,10.0,5.0
2960,162.0,21.0,-104.0,5.0,10.0,-5.0
3000,153.0,29.0,-88.0,5.0,12.0,-12.0
3040,155.0,18.0,-91.0,5.0,9.0,-21.0
3080,162.0,25.0,-89.0,7.0,8.0,-28.0
3120,161.0,54.0,-83.0,7.0,6.0,-36.0
3160,149.0,51.0,-76.0,6.0,5.0,-42.0
3200,132.0,31.0,-81.0,8.0,4.0,-44.0
3240,116.0,25.0,-87.0,7.0,6.0,-44.0
3280,99.0,34.0,-92.0,9.0,5.0,-42.0
3320,84.0,13.0,-103.0,10.0,6.0,-40.0
3360,83.0,-49.0,-119.0,10.0,11.0,-37.0
3400,88.0,-59.0,-124.0,8.0,14.0,-35.0
3440,75.0,-27.0,-123.0,10.0,17.0,-32.0
3480,58.0,-38.0,-120.0,11.0,17.0,-30.0
3520,47.0,-47.0,-134.0,10.0,19.0,-33.0
3560,40.0,-27.0,-138.0,10.0,18.0,-35.0
3600,31.0,4.0,-130.0,11.0,19.0,-38.0
3640,23.0,-13.0,-119.0,9.0,15.0,-41.0
3680,29.0,-28.0,-107.0,9.0,13.0,-47.0
3720,22.0,-22.0,-92.0,6.0,13.0,-51.0
3760,3.0,-23.0,-76.0,5.0,13.0,-52.0
3800,-14.0,-64.0,-68.0,6.0,14.0,-51.0
3840,-27.0,-71.0,-53.0,5.0,16.0,-50.0
3880,-42.0,-80.0,-37.0,4.0,16.0,-49.0
3920,-66.0,-105.0,-13.0,3.0,18.0,-47.0
3960,-87.0,-117.0,-12.0,3.0,22.0,-42.0
4000,-109.0,-91.0,-3.0,4.0,23.0,-41.0
4040,-137.0,-74.0,8.0,5.0,23.0,-37.0
4080,-158.0,-92.0,23.0,5.0,22.0,-36.0
4120,-162.0,-103.0,30.0,5.0,20.0,-33.0
4160,-165.0,-61.0,40.0,4.0,19.0,-33.0
4200,-176.0,-51.0,42.0,4.0,16.0,-31.0
4240,-175.0,-74.0,62.0,2.0,16.0,-32.0
4280,-157.0,-83.0,67.0,2.0,15.0,-30.0
4320,-143.0,-68.0,77.0,0.0,15.0,-29.0
4360,-142.0,-86.0,85.0,1.0,13.0,-26.0
4400,-138.0,-126.0,97.0,1.0,12.0,-25.0
4440,-129.0,-128.0,108.0,-1.0,13.0,-23.0
4480,-121.0,-105.0,118.0,-1.0,12.0,-21.0
4520,-130.0,-77.0,122.0,-1.0,11.0,-17.0
4560,-128.0,-68.0,109.0,0.0,11.0,-13.0
4600,-114.0,-50.0,114.0,-2.0,8.0,-11.0
4640,-99.0,18.0,140.0,-2.0,7.0,-7.0
4680,-87.0,14.0,133.0,-2.0,7.0,-7.0
