Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-43.0,-94.0,-7.0,-4.0,-39.0,-4.0
40,-91.0,-121.0,-62.0,-18.0,-18.0,-49.0
80,-133.0,19.0,106.0,-16.0,13.0,-54.0
120,-75.0,7.0,5.0,-2.0,48.0,-80.0
160,-70.0,-93.0,-46.0,7.0,60.0,-53.0
200,-109.0,79.0,136.0,-4.0,73.0,-37.0
240,-103.0,-177.0,27.0,42.0,61.0,-92.0
280,-183.0,104.0,92.0,65.0,53.0,-40.0
320,-163.0,-4.0,36.0,38.0,65.0,-75.0
360,-117.0,-35.0,85.0,24.0,62.0,-32.0
400,-130.0,5.0,53.0,66.0,25.0,-75.0
440,-144.0,-63.0,-50.0,73.0,23.0,-168.0
480,-183.0,-11.0,47.0,61.0,9.0,-55.0
520,-181.0,-8.0,-1.0,40.0,1.0,-41.0
560,-146.0,-149.0,-58.0,-9.0,-3.0,0.0
600,-168.0,19.0,85.0,-47.0,-46.0,3.0
640,-139.0,-105.0,-44.0,-23.0,-46.0,42.0
680,-179.0,-5.0,-17.0,-25.0,15.0,25.0
720,-223.0,68.0,70.0,-61.0,76.0,23.0
760,-168.0,-78.0,15.0,-58.0,93.0,58.0
800,-163.0,83.0,69.0,-10.0,55.0,54.0
840,-148.0,85.0,149.0,12.0,10.0,60.0
880,-112.0,-5.0,64.0,3.0,-8.0,90.0
920,-150.0,81.0,67.0,-22.0,-4.0,105.0
960,-129.0,24.0,71.0,-42.0,-10.0,98.0
1000,-100.0,-62.0,23.0,-29.0,-19.0,53.0
1040,-112.0,182.0,83.0,23.0,-6.0,-25.0
1080,-44.0,-70.0,3.0,84.0,2.0,-65.0
1120,-50.0,30.0,25.0,95.0,-5.0,38.0
1160,-59.0,32.0,27.0,60.0,-52.0,-24.0
1200,-23.0,-60.0,-51.0,-7.0,-66.0,48.0
1240,-33.0,42.0,-41.0,-34.0,-69.0,132.0
1280,-11.0,39.0,-49.0,-31.0,-23.0,33.0
1320,0.0,13.0,-48.0,-23.0,33.0,33.0
1360,12.0,108.0,6.0,-12.0,33.0,46.0
1400,86.0,-1.0,-35.0,-31.0,22.0,3.0
1440,94.0,20.0,36.0,-46.0,-12.0,20.0
1480,70.0,112.0,6.0,-50.0,-51.0,80.0
1520,93.0,-7.0,-102.0,-94.0,-28.0,161.0
1560,65.0,100.0,20.0,-91.0,14.0,96.0
1600,110.0,80.0,51.0,-30.0,61.0,42.0
1640,116.0,70.0,-28.0,43.0,82.0,-18.0
1680,105.0,194.0,77.0,86.0,56.0,-13.0
1720,168.0,-5.0,27.0,90.0,41.0,-26.0
1760,171.0,81.0,-14.0,56.0,35.0,23.0
1800,156.0,91.0,-93.0,34.0,10.0,73.0
1840,171.0,-19.0,-128.0,22.0,16.0,126.0
1880,139.0,112.0,-54.0,-11.0,57.0,115.0
1920,160.0,69.0,-97.0,-54.0,116.0,69.0
1960,188.0,50.0,-126.0,-60.0,159.0,66.0
2000,185.0,173.0,-24.0,-29.0,149.0,56.0
2040,241.0,71.0,-60.0,-27.0,131.0,28.0
2080,222.0,29.0,-136.0,-61.0,122.0,133.0
