Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-103.0,44.0,26.0,27.0,0.0,80.0
40,-127.0,84.0,41.0,34.0,11.0,-125.0
80,-117.0,-11.0,-90.0,53.0,28.0,75.0
120,-141.0,28.0,10.0,68.0,43.0,48.0
160,-178.0,110.0,90.0,29.0,29.0,68.0
200,-165.0,-37.0,-2.0,19.0,-3.0,104.0
240,-206.0,157.0,136.0,5.0,-31.0,84.0
280,-206.0,115.0,42.0,39.0,-20.0,103.0
320,-186.0,-12.0,115.0,96.0,-4.0,-38.0
360,-233.0,192.0,204.0,84.0,6.0,56.0
400,-231.0,1.0,29.0,59.0,53.0,40.0
440,-239.0,22.0,133.0,14.0,45.0,47.0
480,-278.0,118.0,188.0,27.0,-12.0,2.0
520,-268.0,-17.0,20.0,97.0,-1.0,-111.0
560,-287.0,50.0,112.0,100.0,12.0,14.0
600,-293.0,43.0,166.0,93.0,-12.0,21.0
640,-286.0,-53.0,37.0,87.0,-14.0,-64.0
680,-285.0,60.0,110.0,55.0,-50.0,-39.0
720,-280.0,15.0,48.0,38.0,-82.0,23.0
760,-269.0,-122.0,74.0,46.0,-48.0,4.0
800,-336.0,130.0,176.0,32.0,-52.0,-11.0
840,-298.0,-51.0,2.0,16.0,-68.0,7.0
880,-292.0,-86.0,98.0,1.0,-71.0,-3.0
920,-315.0,129.0,234.0,-1.0,-64.0,18.0
960,-291.0,-52.0,28.0,43.0,-44.0,-82.0
1000,-289.0,60.0,184.0,71.0,-71.0,-47.0
1040,-302.0,28.0,186.0,62.0,-98.0,17.0
1080,-263.0,-93.0,98.0,28.0,-82.0,-60.0
1120,-284.0,14.0,170.0,8.0,-137.0,40.0
1160,-281.0,102.0,90.0,20.0,-166.0,84.0
1200,-230.0,-121.0,79.0,58.0,-104.0,-138.0
1240,-266.0,141.0,248.0,115.0,-100.0,-6.0
1280,-248.0,-73.0,15.0,167.0,-75.0,-105.0
1320,-251.0,-65.0,35.0,146.0,-53.0,-4.0
1360,-206.0,54.0,138.0,91.0,-79.0,-8.0
1400,-131.0,-86.0,-111.0,49.0,-75.0,-14.0
1440,-95.0,-144.0,-28.0,21.0,-129.0,53.0
1480,-143.0,31.0,39.0,-4.0,-175.0,64.0
1520,-126.0,-196.0,-73.0,-6.0,-181.0,-27.0
1560,-157.0,128.0,108.0,-27.0,-146.0,39.0
1600,-106.0,0.0,24.0,-29.0,-62.0,-5.0
1640,-49.0,-13.0,117.0,20.0,-11.0,19.0
1680,-71.0,75.0,169.0,9.0,-24.0,138.0
1720,-73.0,5.0,3.0,-40.0,-20.0,84.0
1760,-62.0,-26.0,104.0,-21.0,-12.0,91.0
1800,-64.0,167.0,164.0,15.0,-35.0,15.0
1840,-21.0,-19.0,-26.0,60.0,-38.0,-21.0
1880,-6.0,42.0,104.0,80.0,-26.0,-30.0
1920,-14.0,39.0,110.0,73.0,-16.0,-3.0
1960,-8.0,-67.0,-4.0,72.0,44.0,-2.0
2000,-43.0,0.0,16.0,18.0,41.0,99.0
2040,-1.0,45.0,-18.0,7.0,0.0,60.0
2080,69.0,-100.0,-82.0,41.0,-36.0,20.0
2120,68.0,76.0,51.0,31.0,-91.0,-44.0
2160,102.0,0.0,-76.0,50.0,-116.0,-2.0
2200,139.0,-106.0,-34.0,24.0,-92.0,-31.0
2240,108.0,120.0,100.0,-38.0,-62.0,107.0
2280,135.0,-138.0,-79.0,-47.0,6.0,15.0
2320,117.0,21.0,31.0,-64.0,41.0,158.0
2360,117.0,89.0,44.0,-62.0,20.0,183.0
2400,158.0,-22.0,-42.0,-40.0,30.0,121.0
2440,143.0,67.0,113.0,-12.0,-4.0,25.0
2480,139.0,147.0,106.0,67.0,-33.0,68.0
2520,155.0,-100.0,6.0,99.0,7.0,-99.0
2560,103.0,169.0,176.0,105.0,13.0,-6.0
2600,114.0,16.0,-32.0,112.0,14.0,-74.0
2640,128.0,-71.0,-86.0,67.0,20.0,-29.0
2680,110.0,84.0,1.0,28.0,-25.0,-5.0
2720,136.0,-131.0,-123.0,9.0,-16.0,-45.0
2760,80.0,-70.0,-46.0,15.0,-22.0,-49.0
2800,50.0,61.0,-30.0,12.0,-26.0,-45.0
2840,106.0,-182.0,-130.0,-5.0,26.0,-146.0
2880,111.0,-38.0,65.0,-28.0,-15.0,-61.0
2920,93.0,5.0,-29.0,-34.0,-79.0,-46.0
2960,104.0,-140.0,-60.0,-33.0,-71.0,-80.0
3000,72.0,8.0,116.0,-47.0,-90.0,55.0
3040,92.0,-66.0,20.0,-31.0,-46.0,-62.0
3080,113.0,-131.0,56.0,21.0,-13.0,18.0
3120,93.0,122.0,204.0,42.0,-18.0,103.0
3160,102.0,-143.0,-27.0,5.0,11.0,126.0
3200,70.0,-12.0,93.0,25.0,40.0,-64.0
3240,53.0,73.0,110.0,32.0,44.0,74.0
3280,104.0,-89.0,-44.0,129.0,29.0,-192.0
3320,109.0,-56.0,43.0,158.0,-33.0,-8.0
3360,119.0,20.0,61.0,81.0,-73.0,-8.0
3400,147.0,-212.0,-51.0,41.0,-54.0,-27.0
3440,87.0,80.0,53.0,28.0,-54.0,55.0
3480,101.0,-109.0,-71.0,26.0,-20.0,-88.0
3520,102.0,-74.0,-24.0,48.0,22.0,33.0
3560,84.0,46.0,31.0,23.0,39.0,-41.0
3600,85.0,-41.0,-82.0,22.0,52.0,6.0
3640,94.0,-152.0,16.0,20.0,33.0,-17.0
3680,57.0,148.0,144.0,-5.0,-25.0,-11.0
3720,100.0,-159.0,-75.0,19.0,-44.0,6.0
3760,51.0,8.0,85.0,48.0,-53.0,25.0
