Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,70.0,-4.0,-27.0,-78.0,17.0,-12.0
40,83.0,-20.0,-32.0,-78.0,15.0,-12.0
80,87.0,-35.0,-28.0,-75.0,11.0,-10.0
120,87.0,-53.0,-13.0,-76.0,8.0,-8.0
160,75.0,-40.0,-4.0,-74.0,5.0,-5.0
200,59.0,-41.0,6.0,-74.0,1.0,-3.0
240,63.0,-76.0,-6.0,-72.0,-3.0,0.0
280,68.0,-49.0,9.0,-73.0,-6.0,4.0
320,66.0,-33.0,27.0,-71.0,-7.0,6.0
360,58.0,-25.0,38.0,-69.0,-10.0,11.0
400,46.0,-9.0,45.0,-66.0,-12.0,12.0
440,41.0,10.0,49.0,-65.0,-16.0,13.0
480,39.0,24.0,63.0,-62.0,-18.0,15.0
520,36.0,42.0,54.0,-59.0,-20.0,13.0
560,36.0,55.0,51.0,-56.0,-23.0,11.0
600,32.0,48.0,58.0,-53.0,-26.0,9.0
640,19.0,56.0,78.0,-52.0,-29.0,8.0
680,19.0,49.0,78.0,-49.0,-33.0,6.0
720,28.0,47.0,58.0,-47.0,-36.0,8.0
760,36.0,23.0,31.0,-44.0,-41.0,8.0
800,43.0,-16.0,20.0,-43.0,-46.0,11.0
840,43.0,-37.0,19.0,-39.0,-49.0,16.0
880,29.0,-11.0,14.0,-36.0,-52.0,18.0
920,16.0,-17.0,4.0,-34.0,-55.0,21.0
960,17.0,-20.0,-10.0,-30.0,-56.0,26.0
1000,32.0,-11.0,-21.0,-28.0,-58.0,28.0
1040,39.0,20.0,-17.0,-25.0,-59.0,30.0
1080,35.0,15.0,-12.0,-22.0,-62.0,29.0
1120,26.0,1.0,-13.0,-20.0,-62.0,25.0
1160,12.0,-2.0,-20.0,-17.0,-65.0,23.0
1200,-6.0,17.0,-31.0,-17.0,-67.0,18.0
1240,-13.0,33.0,-30.0,-14.0,-68.0,12.0
1280,-19.0,29.0,-39.0,-10.0,-70.0,5.0
1320,-27.0,23.0,-26.0,-10.0,-72.0,-2.0
1360,-28.0,28.0,-11.0,-7.0,-74.0,-4.0
1400,-36.0,60.0,6.0,-5.0,-76.0,-6.0
1440,-52.0,43.0,-9.0,-1.0,-80.0,-9.0
1480,-48.0,-31.0,-27.0,0.0,-82.0,-7.0
1520,-24.0,-20.0,-38.0,2.0,-82.0,-6.0
1560,-29.0,47.0,-33.0,5.0,-83.0,-1.0
1600,-53.0,30.0,-10.0,6.0,-83.0,2.0
1640,-52.0,-24.0,-22.0,7.0,-82.0,6.0
1680,-40.0,48.0,-19.0,9.0,-80.0,8.0
1720,-45.0,74.0,0.0,9.0,-78.0,8.0
1760,-63.0,27.0,1.0,10.0,-78.0,5.0
1800,-65.0,-7.0,-3.0,13.0,-77.0,1.0
1840,-70.0,40.0,-5.0,13.0,-77.0,-5.0
1880,-92.0,38.0,-5.0,12.0,-78.0,-6.0
1920,-103.0,6.0,-27.0,15.0,-78.0,-12.0
1960,-95.0,-4.0,-40.0,16.0,-78.0,-17.0
2000,-101.0,43.0,-38.0,19.0,-78.0,-21.0
2040,-126.0,23.0,-13.0,18.0,-75.0,-19.0
2080,-143.0,-18.0,-16.0,17.0,-74.0,-20.0
2120,-158.0,9.0,-27.0,17.0,-76.0,-23.0
