Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,291.0,-20.0,-539.0,-10.0,46.0,-41.0
40,315.0,-19.0,-505.0,-11.0,45.0,-33.0
80,323.0,27.0,-470.0,-15.0,46.0,-27.0
120,328.0,25.0,-462.0,-18.0,51.0,-18.0
160,332.0,55.0,-429.0,-19.0,54.0,-10.0
200,324.0,82.0,-397.0,-21.0,56.0,-2.0
240,310.0,104.0,-374.0,-24.0,57.0,8.0
280,312.0,98.0,-373.0,-26.0,57.0,16.0
320,319.0,103.0,-400.0,-30.0,56.0,24.0
360,312.0,112.0,-414.0,-34.0,54.0,29.0
400,288.0,103.0,-425.0,-38.0,54.0,36.0
440,283.0,123.0,-438.0,-39.0,52.0,39.0
480,301.0,72.0,-464.0,-42.0,53.0,44.0
520,328.0,0.0,-459.0,-44.0,52.0,47.0
560,344.0,-6.0,-439.0,-47.0,52.0,51.0
600,345.0,9.0,-453.0,-50.0,50.0,52.0
640,327.0,5.0,-482.0,-52.0,48.0,54.0
680,305.0,-16.0,-494.0,-55.0,48.0,56.0
720,295.0,6.0,-486.0,-58.0,48.0,57.0
760,291.0,32.0,-465.0,-58.0,46.0,60.0
800,290.0,8.0,-474.0,-58.0,45.0,60.0
840,297.0,-42.0,-479.0,-63.0,46.0,62.0
880,296.0,-40.0,-461.0,-65.0,47.0,62.0
920,262.0,-34.0,-431.0,-66.0,47.0,63.0
960,214.0,-73.0,-407.0,-69.0,45.0,63.0
1000,168.0,-97.0,-365.0,-71.0,44.0,58.0
1040,134.0,-113.0,-344.0,-73.0,43.0,58.0
1080,114.0,-108.0,-321.0,-76.0,42.0,56.0
1120,103.0,-99.0,-327.0,-79.0,42.0,51.0
1160,98.0,-84.0,-333.0,-82.0,42.0,45.0
1200,82.0,-69.0,-309.0,-83.0,41.0,39.0
1240,54.0,-44.0,-275.0,-84.0,43.0,31.0
1280,28.0,-26.0,-254.0,-85.0,41.0,24.0
1320,24.0,-34.0,-255.0,-85.0,39.0,17.0
1360,17.0,-2.0,-247.0,-87.0,38.0,8.0
1400,11.0,-12.0,-245.0,-88.0,36.0,2.0
1440,-1.0,-36.0,-243.0,-89.0,35.0,-3.0
1480,-21.0,-90.0,-251.0,-90.0,34.0,-7.0
1520,-42.0,-106.0,-247.0,-90.0,33.0,-13.0
1560,-62.0,-89.0,-259.0,-89.0,32.0,-18.0
1600,-69.0,-178.0,-282.0,-90.0,33.0,-24.0
1640,-57.0,-212.0,-251.0,-90.0,33.0,-32.0
1680,-41.0,-150.0,-233.0,-91.0,34.0,-42.0
1720,-39.0,-134.0,-218.0,-90.0,32.0,-54.0
1760,-55.0,-129.0,-200.0,-89.0,30.0,-62.0
1800,-73.0,-117.0,-195.0,-88.0,29.0,-65.0
1840,-74.0,-56.0,-152.0,-90.0,25.0,-71.0
1880,-71.0,-5.0,-119.0,-88.0,22.0,-75.0
1920,-64.0,7.0,-93.0,-87.0,22.0,-79.0
1960,-47.0,-39.0,-65.0,-85.0,20.0,-81.0
2000,-42.0,-28.0,-17.0,-82.0,22.0,-80.0
2040,-55.0,-9.0,27.0,-84.0,22.0,-79.0
2080,-70.0,-74.0,50.0,-82.0,20.0,-79.0
2120,-81.0,-92.0,53.0,-82.0,19.0,-76.0
2160,-88.0,-99.0,58.0,-79.0,18.0,-74.0
2200,-96.0,-92.0,70.0,-76.0,16.0,-68.0
2240,-90.0,-101.0,63.0,-74.0,11.0,-64.0
2280,-73.0,-114.0,59.0,-71.0,8.0,-61.0
2320,-55.0,-100.0,61.0,-66.0,7.0,-56.0
2360,-38.0,-82.0,57.0,-61.0,6.0,-52.0
2400,-26.0,-65.0,26.0,-59.0,3.0,-48.0
2440,-14.0,-100.0,12.0,-56.0,2.0,-46.0
2480,-9.0,-95.0,1.0,-52.0,4.0,-47.0
2520,-14.0,-79.0,-27.0,-49.0,1.0,-37.0
2560,-27.0,-73.0,-57.0,-47.0,0.0,-36.0
2600,-39.0,-58.0,-83.0,-46.0,-1.0,-33.0
2640,-55.0,-52.0,-91.0,-39.0,-3.0,-29.0
2680,-58.0,-27.0,-87.0,-36.0,-3.0,-27.0
2720,-66.0,-22.0,-87.0,-30.0,-5.0,-21.0
2760,-75.0,-7.0,-71.0,-28.0,-7.0,-17.0
2800,-88.0,11.0,-58.0,-25.0,-8.0,-11.0
2840,-104.0,27.0,-57.0,-20.0,-8.0,-6.0
2880,-112.0,41.0,-56.0,-19.0,-10.0,-2.0
2920,-123.0,93.0,-47.0,-16.0,-12.0,6.0
2960,-134.0,91.0,-29.0,-15.0,-12.0,13.0
3000,-136.0,73.0,-11.0,-11.0,-14.0,20.0
3040,-134.0,93.0,-7.0,-7.0,-15.0,28.0
3080,-132.0,81.0,0.0,-6.0,-20.0,32.0
3120,-139.0,49.0,10.0,-4.0,-20.0,35.0
3160,-149.0,24.0,-10.0,0.0,-22.0,39.0
3200,-160.0,19.0,-15.0,3.0,-23.0,42.0
3240,-173.0,8.0,-20.0,5.0,-23.0,45.0
3280,-186.0,-3.0,-28.0,8.0,-27.0,45.0
3320,-187.0,-8.0,-42.0,12.0,-28.0,46.0
3360,-185.0,-6.0,-47.0,17.0,-30.0,46.0
3400,-205.0,3.0,-33.0,20.0,-31.0,45.0
3440,-229.0,-5.0,-21.0,22.0,-32.0,45.0
3480,-246.0,-11.0,-23.0,26.0,-33.0,45.0
3520,-257.0,5.0,-32.0,28.0,-34.0,41.0
3560,-279.0,12.0,-34.0,29.0,-33.0,37.0
3600,-302.0,21.0,-20.0,31.0,-34.0,35.0
3640,-315.0,21.0,-4.0,36.0,-35.0,31.0
3680,-328.0,33.0,7.0,36.0,-34.0,28.0
3720,-361.0,57.0,28.0,39.0,-35.0,24.0
3760,-393.0,49.0,47.0,41.0,-38.0,22.0
3800,-417.0,44.0,71.0,44.0,-40.0,19.0
3840,-431.0,37.0,89.0,46.0,-42.0,13.0
3880,-440.0,51.0,120.0,47.0,-42.0,9.0
3920,-427.0,53.0,141.0,49.0,-43.0,2.0
3960,-404.0,72.0,166.0,50.0,-43.0,-3.0
4000,-382.0,89.0,189.0,52.0,-45.0,-9.0
4040,-368.0,88.0,217.0,52.0,-46.0,-13.0
4080,-364.0,100.0,238.0,55.0,-49.0,-19.0
4120,-371.0,108.0,261.0,56.0,-51.0,-20.0
4160,-383.0,101.0,282.0,59.0,-54.0,-22.0
4200,-386.0,74.0,297.0,60.0,-55.0,-23.0
4240,-374.0,40.0,314.0,63.0,-52.0,-24.0
4280,-361.0,35.0,327.0,66.0,-51.0,-24.0
4320,-356.0,13.0,331.0,68.0,-48.0,-27.0
4360,-372.0,-16.0,349.0,71.0,-45.0,-31.0
4400,-395.0,-31.0,351.0,72.0,-44.0,-32.0
4440,-432.0,9.0,364.0,73.0,-45.0,-37.0
4480,-466.0,30.0,357.0,75.0,-48.0,-39.0
4520,-482.0,39.0,365.0,77.0,-52.0,-41.0
4560,-474.0,86.0,381.0,78.0,-54.0,-42.0
4600,-453.0,128.0,398.0,77.0,-57.0,-40.0
4640,-425.0,145.0,415.0,80.0,-56.0,-39.0
4680,-395.0,151.0,415.0,82.0,-55.0,-39.0
4720,-375.0,175.0,436.0,85.0,-52.0,-37.0
4760,-367.0,146.0,456.0,84.0,-51.0,-31.0
4800,-374.0,132.0,479.0,85.0,-49.0,-25.0
4840,-383.0,124.0,481.0,87.0,-51.0,-22.0
4880,-393.0,126.0,494.0,85.0,-50.0,-15.0
4920,-392.0,106.0,498.0,86.0,-48.0,-10.0
4960,-376.0,97.0,495.0,85.0,-49.0,0.0
5000,-342.0,113.0,475.0,87.0,-48.0,6.0
5040,-306.0,102.0,467.0,87.0,-47.0,11.0
5080,-282.0,95.0,476.0,87.0,-45.0,15.0
5120,-261.0,121.0,463.0,87.0,-47.0,20.0
5160,-242.0,116.0,445.0,88.0,-44.0,24.0
5200,-234.0,131.0,427.0,88.0,-46.0,26.0
5240,-237.0,165.0,420.0,88.0,-45.0,30.0
5280,-241.0,174.0,420.0,86.0,-44.0,33.0
5320,-238.0,175.0,400.0,86.0,-43.0,38.0
5360,-249.0,216.0,371.0,85.0,-41.0,42.0
5400,-260.0,217.0,357.0,85.0,-40.0,43.0
5440,-274.0,186.0,357.0,83.0,-38.0,48.0
5480,-286.0,191.0,346.0,83.0,-34.0,52.0
5520,-299.0,188.0,320.0,82.0,-32.0,57.0
5560,-300.0,153.0,300.0,80.0,-29.0,65.0
5600,-294.0,134.0,281.0,76.0,-29.0,69.0
5640,-272.0,97.0,256.0,77.0,-27.0,74.0
5680,-252.0,75.0,243.0,76.0,-28.0,80.0
5720,-233.0,28.0,209.0,77.0,-26.0,85.0
5760,-206.0,-32.0,184.0,74.0,-25.0,87.0
5800,-166.0,-62.0,159.0,71.0,-25.0,87.0
5840,-147.0,-87.0,150.0,70.0,-22.0,85.0
5880,-152.0,-113.0,149.0,67.0,-21.0,81.0
5920,-159.0,-139.0,132.0,66.0,-20.0,76.0
5960,-169.0,-125.0,140.0,62.0,-17.0,67.0
6000,-199.0,-100.0,156.0,61.0,-17.0,57.0
