Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-74.0,-16.0,-64.0,-13.0,-3.0,-26.0
40,-73.0,-41.0,-75.0,-11.0,-1.0,-25.0
80,-76.0,-36.0,-72.0,-11.0,1.0,-21.0
120,-82.0,-53.0,-74.0,-10.0,4.0,-22.0
160,-94.0,-62.0,-71.0,-9.0,3.0,-21.0
200,-101.0,-42.0,-76.0,-9.0,3.0,-21.0
240,-101.0,-36.0,-90.0,-9.0,1.0,-23.0
280,-88.0,-20.0,-98.0,-9.0,1.0,-25.0
320,-73.0,-15.0,-108.0,-10.0,-1.0,-28.0
360,-65.0,4.0,-104.0,-8.0,-1.0,-26.0
400,-62.0,5.0,-93.0,-7.0,-3.0,-27.0
440,-60.0,13.0,-73.0,-10.0,-4.0,-26.0
480,-60.0,24.0,-73.0,-9.0,-5.0,-21.0
520,-62.0,40.0,-82.0,-9.0,-5.0,-17.0
560,-71.0,60.0,-86.0,-8.0,-6.0,-11.0
600,-82.0,40.0,-78.0,-7.0,-5.0,-3.0
640,-86.0,16.0,-59.0,-7.0,-4.0,6.0
680,-90.0,15.0,-53.0,-7.0,-2.0,12.0
720,-101.0,21.0,-54.0,-7.0,-2.0,19.0
760,-108.0,-11.0,-57.0,-8.0,0.0,24.0
800,-101.0,-40.0,-49.0,-8.0,2.0,26.0
840,-96.0,-28.0,-27.0,-6.0,3.0,28.0
880,-95.0,-21.0,-12.0,-6.0,3.0,28.0
920,-92.0,-26.0,-6.0,-5.0,1.0,26.0
960,-79.0,-17.0,-17.0,-6.0,0.0,25.0
1000,-70.0,29.0,-18.0,-5.0,-1.0,22.0
1040,-66.0,51.0,-17.0,-2.0,-4.0,21.0
1080,-57.0,46.0,-8.0,-2.0,-4.0,20.0
1120,-42.0,56.0,-4.0,0.0,-7.0,20.0
1160,-39.0,66.0,-4.0,0.0,-8.0,21.0
1200,-49.0,79.0,-3.0,0.0,-9.0,26.0
1240,-56.0,52.0,-10.0,-1.0,-9.0,30.0
1280,-57.0,44.0,-3.0,-1.0,-6.0,34.0
1320,-67.0,51.0,2.0,-1.0,-4.0,41.0
1360,-78.0,32.0,7.0,-1.0,-4.0,44.0
1400,-84.0,8.0,12.0,0.0,-1.0,49.0
1440,-83.0,8.0,24.0,0.0,2.0,47.0
1480,-86.0,20.0,38.0,1.0,1.0,48.0
1520,-89.0,26.0,46.0,2.0,2.0,45.0
1560,-85.0,29.0,66.0,4.0,1.0,41.0
1600,-80.0,40.0,91.0,4.0,-1.0,38.0
1640,-76.0,59.0,110.0,5.0,-2.0,33.0
1680,-72.0,77.0,120.0,7.0,-4.0,28.0
1720,-66.0,81.0,132.0,7.0,-9.0,24.0
1760,-54.0,90.0,136.0,7.0,-7.0,20.0
1800,-49.0,75.0,141.0,7.0,-8.0,19.0
1840,-47.0,65.0,141.0,10.0,-7.0,15.0
1880,-54.0,34.0,145.0,10.0,-6.0,13.0
1920,-65.0,3.0,154.0,12.0,-4.0,11.0
1960,-79.0,0.0,156.0,11.0,-2.0,11.0
2000,-87.0,-6.0,152.0,13.0,-3.0,12.0
2040,-87.0,-28.0,152.0,15.0,-3.0,9.0
2080,-99.0,-3.0,158.0,16.0,-4.0,11.0
2120,-113.0,4.0,157.0,17.0,-4.0,10.0
