Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-23.0,-190.0,13.0,-36.0,42.0,-128.0
40,-62.0,113.0,-40.0,-99.0,96.0,175.0
80,-32.0,-121.0,-80.0,-105.0,94.0,217.0
120,-50.0,-47.0,105.0,-55.0,114.0,-22.0
160,-67.0,110.0,132.0,-29.0,150.0,18.0
200,-36.0,114.0,9.0,21.0,130.0,35.0
240,-27.0,-105.0,62.0,38.0,94.0,9.0
280,-49.0,202.0,218.0,11.0,79.0,-61.0
320,42.0,-69.0,-59.0,-34.0,74.0,38.0
360,-15.0,54.0,-35.0,-96.0,66.0,161.0
400,-31.0,-10.0,68.0,-89.0,36.0,94.0
440,-13.0,-53.0,5.0,-118.0,45.0,82.0
480,-7.0,147.0,8.0,-101.0,85.0,-47.0
520,29.0,-61.0,-86.0,-30.0,112.0,-30.0
560,31.0,-10.0,47.0,-2.0,112.0,-40.0
600,-5.0,52.0,5.0,-39.0,64.0,40.0
640,28.0,-30.0,-162.0,-75.0,14.0,180.0
680,24.0,52.0,19.0,-99.0,25.0,164.0
720,46.0,171.0,25.0,-51.0,49.0,213.0
760,111.0,-1.0,-91.0,34.0,65.0,46.0
800,81.0,202.0,62.0,100.0,85.0,9.0
840,145.0,7.0,-8.0,70.0,105.0,32.0
880,132.0,32.0,-25.0,-25.0,92.0,48.0
920,118.0,80.0,-54.0,-48.0,18.0,88.0
960,189.0,-51.0,-119.0,-45.0,-4.0,6.0
1000,156.0,84.0,-58.0,-48.0,36.0,48.0
1040,128.0,51.0,-81.0,-16.0,62.0,46.0
1080,157.0,-47.0,-34.0,-21.0,69.0,23.0
1120,141.0,134.0,15.0,-3.0,28.0,55.0
1160,177.0,51.0,-58.0,-6.0,-4.0,12.0
1200,185.0,52.0,7.0,22.0,7.0,7.0
1240,170.0,105.0,27.0,55.0,19.0,-12.0
1280,196.0,17.0,-152.0,36.0,14.0,30.0
1320,162.0,64.0,-39.0,-4.0,7.0,65.0
1360,138.0,107.0,40.0,-51.0,37.0,111.0
1400,167.0,-27.0,-118.0,-59.0,74.0,83.0
1440,123.0,170.0,-32.0,-30.0,74.0,-5.0
1480,159.0,31.0,-66.0,3.0,36.0,-30.0
1520,174.0,9.0,-12.0,14.0,-25.0,29.0
1560,148.0,135.0,-62.0,-17.0,-80.0,84.0
1600,179.0,-32.0,-106.0,-37.0,-74.0,26.0
1640,133.0,115.0,88.0,-29.0,-25.0,82.0
1680,108.0,98.0,79.0,26.0,25.0,103.0
1720,112.0,33.0,1.0,66.0,53.0,107.0
1760,85.0,138.0,174.0,53.0,63.0,89.0
1800,102.0,99.0,152.0,10.0,34.0,85.0
1840,117.0,30.0,40.0,-28.0,8.0,110.0
1880,86.0,131.0,107.0,-28.0,-19.0,47.0
1920,93.0,-78.0,34.0,-17.0,-27.0,21.0
1960,33.0,67.0,57.0,-19.0,-31.0,66.0
2000,-4.0,45.0,-16.0,-24.0,-11.0,71.0
2040,27.0,-53.0,0.0,-38.0,52.0,106.0
2080,-26.0,41.0,85.0,-37.0,81.0,110.0
2120,-18.0,14.0,43.0,-17.0,69.0,129.0
2160,-5.0,-18.0,10.0,20.0,27.0,82.0
2200,-30.0,142.0,74.0,40.0,-41.0,51.0
2240,17.0,-42.0,-11.0,46.0,-75.0,-15.0
2280,-2.0,84.0,42.0,34.0,-87.0,28.0
2320,-4.0,58.0,6.0,12.0,-76.0,6.0
2360,11.0,-53.0,-19.0,-24.0,-42.0,-19.0
2400,-30.0,24.0,11.0,-23.0,-4.0,-40.0
2440,-11.0,-29.0,-41.0,4.0,43.0,-58.0
2480,0.0,-85.0,-67.0,7.0,69.0,-36.0
2520,-33.0,96.0,42.0,1.0,49.0,-9.0
2560,5.0,-90.0,-39.0,-2.0,24.0,3.0
2600,-26.0,62.0,9.0,14.0,5.0,-19.0
2640,-42.0,19.0,30.0,40.0,-6.0,-44.0
2680,-27.0,-27.0,-6.0,42.0,20.0,-11.0
2720,-30.0,22.0,21.0,22.0,42.0,-36.0
2760,10.0,45.0,-2.0,4.0,44.0,-52.0
2800,46.0,-161.0,-66.0,10.0,44.0,-64.0
2840,-1.0,88.0,26.0,14.0,35.0,-66.0
2880,39.0,-175.0,-132.0,33.0,48.0,-112.0
2920,6.0,34.0,-33.0,47.0,75.0,-103.0
2960,8.0,-10.0,-56.0,33.0,92.0,-90.0
3000,27.0,-81.0,-112.0,19.0,95.0,-56.0
3040,15.0,12.0,-25.0,-13.0,54.0,-60.0
3080,53.0,37.0,-47.0,10.0,-14.0,-88.0
3120,115.0,-84.0,-73.0,12.0,-45.0,-29.0
3160,83.0,112.0,38.0,4.0,-63.0,-14.0
3200,116.0,-79.0,-76.0,3.0,-5.0,-57.0
3240,69.0,59.0,-44.0,-2.0,72.0,-9.0
3280,78.0,51.0,-14.0,-16.0,112.0,-2.0
3320,113.0,-51.0,-47.0,-27.0,119.0,57.0
3360,92.0,97.0,31.0,-60.0,88.0,42.0
3400,105.0,53.0,5.0,-38.0,33.0,34.0
3440,120.0,-5.0,-1.0,-45.0,-22.0,57.0
3480,82.0,126.0,73.0,-52.0,-83.0,68.0
3520,131.0,62.0,-5.0,-49.0,-123.0,96.0
3560,141.0,77.0,9.0,-41.0,-147.0,125.0
3600,130.0,164.0,68.0,-22.0,-131.0,90.0
3640,160.0,-49.0,-7.0,0.0,-54.0,106.0
3680,95.0,155.0,52.0,1.0,6.0,139.0
3720,110.0,76.0,3.0,23.0,31.0,115.0
3760,117.0,32.0,-10.0,34.0,30.0,91.0
3800,73.0,164.0,47.0,50.0,-12.0,78.0
3840,98.0,23.0,-50.0,37.0,-54.0,117.0
3880,82.0,25.0,-38.0,-7.0,-84.0,124.0
3920,70.0,117.0,45.0,-24.0,-120.0,85.0
3960,101.0,-53.0,-31.0,-43.0,-126.0,109.0
4000,66.0,86.0,15.0,-55.0,-134.0,135.0
4040,83.0,32.0,-2.0,-48.0,-105.0,109.0
4080,90.0,27.0,20.0,-31.0,-52.0,74.0
4120,44.0,111.0,62.0,-13.0,-16.0,45.0
4160,59.0,36.0,0.0,7.0,20.0,93.0
4200,56.0,-68.0,18.0,24.0,57.0,-6.0
4240,4.0,104.0,112.0,-10.0,60.0,41.0
4280,26.0,-110.0,-73.0,-57.0,72.0,-46.0
4320,-6.0,0.0,19.0,-65.0,46.0,40.0
4360,23.0,-28.0,40.0,-68.0,10.0,-19.0
4400,32.0,-142.0,-63.0,-63.0,8.0,-70.0
4440,-21.0,30.0,-2.0,-58.0,22.0,-77.0
4480,-18.0,-128.0,-37.0,-44.0,85.0,-47.0
4520,-40.0,-83.0,-27.0,-45.0,152.0,-100.0
4560,-77.0,15.0,-42.0,13.0,184.0,-83.0
4600,-31.0,-131.0,-83.0,59.0,211.0,-167.0
4640,-77.0,-93.0,-14.0,47.0,221.0,-60.0
4680,-76.0,-17.0,-30.0,18.0,215.0,-136.0
4720,-46.0,-231.0,-125.0,5.0,198.0,-164.0
4760,-70.0,36.0,46.0,22.0,146.0,-79.0
4800,-18.0,-199.0,-78.0,4.0,115.0,-101.0
4840,-24.0,-97.0,-40.0,-12.0,101.0,-89.0
4880,-60.0,-75.0,24.0,-39.0,88.0,-124.0
4920,-52.0,-107.0,-7.0,-38.0,142.0,-105.0
4960,-82.0,-109.0,-20.0,-47.0,218.0,-86.0
5000,-93.0,-20.0,35.0,-25.0,252.0,-112.0
5040,-69.0,-173.0,-7.0,-27.0,272.0,-161.0
5080,-110.0,45.0,38.0,-50.0,241.0,-138.0
5120,-60.0,-119.0,-48.0,-47.0,187.0,-191.0
5160,-60.0,-137.0,45.0,-33.0,147.0,-216.0
5200,-91.0,-16.0,54.0,-23.0,112.0,-222.0
5240,-68.0,-184.0,-89.0,-27.0,70.0,-75.0
5280,-87.0,-106.0,14.0,-58.0,54.0,-157.0
5320,-92.0,-105.0,35.0,-74.0,56.0,-70.0
5360,-65.0,-141.0,-54.0,-71.0,80.0,-26.0
